"date","avg_windstress","windstress_class"
2015-03-10,0.0093201,"weak_downfront"
2015-04-21,-0.01679072,"weak_upfront"
2015-08-11,0.0540143,"strong_downfront"
2015-11-05,0.01577852,"weak_downfront"
2016-01-17,0.011381,"weak_downfront"
2016-03-14,0.0216988,"weak_downfront"
2016-09-20,-0.0229991,"weak_upfront"
2017-02-02,-0.0159828,"weak_upfront"
2017-03-27,0.0176934,"weak_downfront"
2017-06-29,-0.00464972,"weak_upfront"
2017-09-21,-0.0407292,"strong_upfront"
2018-01-30,-0.019963178,"weak_upfront"
2018-03-26,0.01324466,"weak_downfront"
2018-05-17,-0.0121892,"weak_upfront"
2018-07-13,0.066162528,"strong_downfront"
2019-03-15,-0.026194,"weak_upfront"
2019-09-03,0.00908984,"weak_downfront"
2019-11-04,0.05175578,"strong_downfront"
2020-01-14,-0.01622876,"weak_upfront"
2020-06-02,-0.03129212,"weak_upfront"
2020-07-28,0.02648226,"weak_downfront"
2020-10-13,-0.0590876,"strong_upfront"
2021-01-27,-0.01955668,"weak_upfront"
2021-03-29,-0.03557816,"weak_upfront"
2021-05-27,-0.019933588,"weak_upfront"
2021-07-28,-0.05245956,"strong_upfront"
2021-09-21,-0.03827106,"weak_upfront"
2021-11-30,-0.00480872,"weak_upfront"
2022-03-25,-0.053193832,"strong_upfront"
2022-06-08,-0.03504328,"weak_upfront"
2022-10-04,0.018269,"weak_downfront"
2023-01-24,0.04634798,"strong_downfront"
2023-03-24,0.0836476,"strong_downfront"
2019-05-23,0.07925074,"strong_downfront"
2012-09-04,NA,NA
2019-07-23,-0.01381574,"weak_upfront"
2017-07-14,0.051758572,"strong_downfront"
